pitcher,hand,pitch_type,release_speed,release_spin_rate,spin_axis,Mx,Mz,theta
573186,R,SL,85.19479768786128,2659.161943319838,86.54527938342967,11.97306870362742,-2.416457445572763,71.15991902834008
660271,R,SL,81.49809523809523,2319.2146341463413,98.1047619047619,15.739636132031285,0.14516946573382733,59.64878048780488
605441,R,SL,86.28473282442748,1963.4134615384614,181.9083969465649,-0.3701311103085353,2.468871593735508,83.81553398058253
641838,R,SL,87.28461538461536,2191.076923076923,181.59615384615384,0.18771508319206745,4.013698690037368,82.76923076923077
571800,R,SL,82.2825892857143,2654.177339901478,52.026785714285715,5.088611790154412,-6.378302540809202,79.44334975369458
448855,R,SL,83.84210526315789,2295.9063829787233,87.30877192982456,5.460020796479059,-2.053192203963615,80.99141630901288
573166,R,SL,86.1,2155.5,189.0,-1.9336458854930174,9.029743711454051,74.0
596112,R,SL,83.83020833333335,2615.46875,148.88541666666666,1.2005662705026914,0.45819595331682167,86.80208333333333
664856,R,SL,84.82380952380952,2757.684210526316,99.76190476190476,9.30745712171085,-0.21996054646326338,78.0
543339,R,SL,86.62320819112628,2569.086642599278,153.8430034129693,1.3709806578700163,1.4110840352618585,86.26353790613719
516969,R,SL,80.67045454545455,2692.3939393939395,72.14393939393939,16.164904828808453,-7.395348961768436,60.515625
571882,R,SL,84.61447368421052,2237.0833333333335,86.07894736842105,4.46272640362998,-4.243702931455561,79.55
433587,R,SL,82.414,2266.468085106383,104.63,6.497524949814942,-0.7357994205848607,78.55319148936171
461865,R,SL,77.14999999999999,2052.1666666666665,165.33333333333334,1.956355329060636,7.661521609590845,77.33333333333333
548357,R,SL,85.28846153846153,2040.7307692307693,185.46153846153845,-1.1705988138141192,7.096220868419616,77.23076923076923
518586,R,SL,83.5,2569.0,156.0,3.9844722270295794,7.140487307184877,80.0
429722,R,SL,81.37111111111112,2248.3858267716537,123.71851851851852,5.155664761839043,1.5372071668939926,81.33070866141732
592833,R,SL,83.72500000000001,2263.9166666666665,99.25,1.8887263786041633,-11.72184839639567,69.16666666666667
430641,R,SL,87.44110429447854,2496.521472392638,149.52147239263803,4.140922445961774,5.870136285483272,79.26993865030674
592499,R,SL,85.49363057324841,2237.0700636942674,127.48407643312102,6.517175354476402,3.9641220503207677,76.52229299363057
502004,R,SL,83.57422680412371,2502.1304347826085,105.4020618556701,6.09483241684774,-0.8064519172434257,79.91208791208791
622161,R,SL,83.37264150943398,2391.6666666666665,74.66981132075472,4.253162126938353,-3.2668057709854867,82.23655913978494
641501,R,SL,87.19999999999999,1988.6,184.8,-0.20172570148629304,4.389969775242069,82.2
622492,R,SL,79.68108108108108,2262.470588235294,100.72972972972973,8.222619196360471,-0.2970635686650973,77.23529411764706
594987,R,SL,88.0,2452.0,77.0,4.497795597412547,-2.6297544268817132,83.0
641149,R,SL,86.54736842105262,2379.7368421052633,180.6315789473684,-2.0932417650016455,5.69927589429191,77.10526315789474
592815,R,SL,89.13708609271524,2038.3576158940398,157.49006622516555,2.365762593980906,4.498581393439805,80.74172185430463
623434,R,SL,82.03191489361703,2017.1707317073171,162.72340425531914,-0.7406072475982676,-1.6209820573478586,82.63414634146342
545363,R,SL,85.2590909090909,2013.2727272727273,151.5909090909091,3.435240645792698,4.716799741173479,78.0909090909091
607374,R,SL,79.69125874125874,2182.048951048951,127.33566433566433,1.6375298503098659,-1.1513699722787667,86.28321678321679
656725,R,SL,88.045,2262.625,158.9,2.6768947721421403,5.239476446703453,80.425
504379,R,SL,87.46401869158878,1989.5841121495328,166.6355140186916,1.3901147993023926,5.0223448579697525,79.49065420560747
501697,R,SL,85.74642857142858,2287.3571428571427,109.07142857142857,0.9572273082797311,-3.4672613018205896,84.625
592238,R,SL,82.69999999999999,2661.3636363636365,53.18181818181818,2.8407483028047085,-4.713820832396518,83.36363636363636
622097,R,SL,83.575,2503.3333333333335,91.13333333333334,15.28654378149264,-1.7030918058556994,61.87719298245614
456501,R,SL,82.44333333333333,2278.0,141.37222222222223,3.064117868241196,3.0006386494879353,82.43428571428572
493247,R,SL,77.39540229885057,2393.6882352941175,85.77586206896552,11.654372266812757,-3.0648630695332684,72.55294117647058
543508,R,SL,84.75714285714287,2581.153846153846,97.55102040816327,5.800335789413581,-1.1685871744158332,81.64102564102564
571602,R,SL,79.44000000000001,1018.5,164.2,2.1898919361456466,5.9738506516311904,62.0
460576,R,SL,65.5,1783.0,203.0,-10.048045798960198,19.99810151689325,29.0
592169,R,SL,85.75,2467.6666666666665,98.16666666666667,3.767676217228985,-1.725892055280801,81.33333333333333
502381,R,SL,80.5764705882353,2588.8333333333335,84.94117647058823,9.098611299648125,-3.075052476230823,77.04545454545455
608652,R,SL,84.1728323699422,2423.936416184971,135.70520231213874,2.080128708635916,0.8902700911401608,86.20809248554913
621199,R,SL,84.62159090909091,2294.8166666666666,123.04545454545455,11.60788654680363,5.323021922216245,66.55
542914,R,SL,86.96571428571428,2197.3333333333335,100.32857142857142,5.087900198273646,-0.8490360478357607,80.875
600965,R,SL,85.48048780487805,2311.25,73.5609756097561,5.81407379675392,-3.5660326845977703,79.0625
635903,R,SL,83.075,2364.75,175.25,-0.22435920300186984,9.25616316765398,75.0
622864,R,SL,86.72827004219408,2431.3846153846152,101.9915611814346,2.217777358022651,-2.051203352721223,85.55656108597285
453344,R,SL,87.96833333333335,2383.3571428571427,49.266666666666666,3.6674026740305923,-6.683472465235553,77.78571428571429
502188,R,SL,86.16666666666667,2426.7933333333335,192.88,-2.67025613793793,8.256459256244828,75.98
658792,R,SL,82.34736842105264,2175.5675675675675,122.05263157894737,5.086594344802466,1.4313087552109582,81.27027027027027
605280,R,SL,87.39999999999999,2368.0,65.0,2.575526341035901,-2.5211359587282183,85.0
573046,R,SL,84.22941176470587,2015.764705882353,127.05882352941177,5.55580398942515,2.810473873195317,78.94117647058823
656546,R,SL,86.04473684210528,2364.2105263157896,147.39473684210526,3.431310422887363,3.947053982349528,81.92105263157895
433586,R,SL,88.68301886792455,2399.5849056603774,197.75471698113208,-4.547724679119114,11.696391583872291,67.22641509433963
543883,R,SL,80.7,2682.0,43.0,5.1025575510804995,-7.445925589148204,79.0
594742,R,SL,82.625,1501.5,96.5,3.5193791204878653,-1.342689496376451,81.5
663432,R,SL,89.31794871794874,2592.6060606060605,100.38461538461539,6.071119937490407,-0.5535662513454175,81.39393939393939
